,elev,population
286,0.3176470588235294,112.0
287,0.611764705882353,787.0
288,0.6627450980392157,48.0
289,0.6666666666666666,2635.0
290,0.6509803921568628,12978.0
291,0.8117647058823529,1047.0
292,0.8117647058823529,1110.0
293,0.6509803921568628,13678.0
297,0.8196078431372549,127.0
299,0.611764705882353,3714.0
300,0.6823529411764706,2465.0
301,0.7176470588235294,2620.0
302,0.8156862745098039,2564.0
303,0.8156862745098039,6651.0
304,0.8117647058823529,1296.0
305,0.8235294117647058,1074.0
307,0.5803921568627451,1635.0
308,0.5882352941176471,1880.0
309,0.6941176470588235,1987.0
310,0.6509803921568628,1516.0
311,0.8117647058823529,63166.0
312,0.6666666666666666,1863.0
313,0.8274509803921568,1106.0
314,0.8117647058823529,2703.0
315,0.8196078431372549,43.0
316,0.7607843137254902,5351.0
317,0.7411764705882353,1327.0
318,0.6431372549019608,1301.0
319,0.8117647058823529,2965.0
320,0.7333333333333333,1402.0
321,0.3176470588235294,12220.0
322,0.6627450980392157,15723.0
323,0.6705882352941176,2993.0
324,0.6431372549019608,1779.0
325,0.6627450980392157,1598.0
326,0.6431372549019608,1971.0
327,0.8117647058823529,5975.0
328,0.8117647058823529,14961.0
329,0.8117647058823529,1216.0
332,0.6627450980392157,8131.0
333,0.6980392156862745,4439.0
334,0.6509803921568628,74003.0
335,0.8235294117647058,3571.0
336,0.596078431372549,1082.0
337,0.6549019607843137,1320.0
338,0.6627450980392157,4579.0
339,0.6627450980392157,5101.0
340,0.8117647058823529,1345.0
341,0.6666666666666666,2053.0
342,0.6431372549019608,5827.0
343,0.7803921568627451,1452.0
344,0.7843137254901961,5344.0
345,0.788235294117647,2501.0
346,0.6352941176470588,1403.0
347,0.7098039215686275,8414.0
348,0.6627450980392157,1018.0
349,0.6549019607843137,34066.0
350,0.6745098039215687,9848.0
351,0.6745098039215687,1529.0
352,0.6627450980392157,3159.0
353,0.611764705882353,1308.0
354,0.6392156862745098,1774.0
355,0.788235294117647,1352.0
356,0.6745098039215687,1494.0
357,0.6509803921568628,1256.0
358,0.8509803921568627,1471.0
359,0.6352941176470588,2424.0
360,0.6509803921568628,5689.0
361,0.49411764705882355,4872.0
362,0.7215686274509804,9882.0
363,0.6705882352941176,7235.0
364,0.6509803921568628,17189.0
365,0.6627450980392157,2228.0
366,0.6313725490196078,17396.0
367,0.6627450980392157,2081.0
368,0.6509803921568628,5708.0
369,0.8235294117647058,4084.0
370,0.6431372549019608,19645.0
371,0.8156862745098039,2153.0
372,0.8117647058823529,1347.0
373,0.8117647058823529,1381.0
374,0.8352941176470589,1444.0
375,0.8509803921568627,1587.0
376,0.8117647058823529,3375.0
377,0.8196078431372549,1004.0
378,0.6627450980392157,8109.0
379,0.3176470588235294,26.0
380,0.6823529411764706,9879.0
381,0.8666666666666667,4590.0
382,0.6509803921568628,1945.0
383,0.6509803921568628,18742.0
384,0.6509803921568628,1083.0
385,0.6666666666666666,1629.0
386,0.8117647058823529,1156.0
387,0.8352941176470589,1004.0
388,0.8117647058823529,3562.0
389,0.8156862745098039,1064.0
390,0.9803921568627451,1114.0
391,0.49411764705882355,1444.0
392,0.6980392156862745,1906.0
394,0.5529411764705883,1021.0
395,0.6705882352941176,2567.0
396,0.6509803921568628,7229.0
397,0.6509803921568628,6270.0
398,0.8156862745098039,1154.0
399,0.8117647058823529,4065.0
400,0.8117647058823529,1035.0
401,0.796078431372549,2300.0
402,0.8235294117647058,1688.0
403,0.7843137254901961,1086.0
404,0.7764705882352941,5992.0
405,0.7843137254901961,3180.0
406,0.7686274509803922,1504.0
407,0.7098039215686275,2474.0
408,0.6745098039215687,6635.0
409,0.6470588235294118,1125.0
410,0.6509803921568628,1078.0
411,0.6509803921568628,9328.0
412,0.6509803921568628,5952.0
413,0.6470588235294118,1998.0
414,0.6509803921568628,1415.0
415,0.8196078431372549,2573.0
416,0.6509803921568628,1301.0
417,0.8235294117647058,1496.0
418,0.8117647058823529,1826.0
419,0.8470588235294118,1237.0
420,0.6509803921568628,1589.0
422,0.6666666666666666,10753.0
423,0.6549019607843137,1240.0
424,0.6352941176470588,3277.0
425,0.6509803921568628,1061.0
426,0.8117647058823529,2161.0
427,0.8156862745098039,1038.0
428,0.792156862745098,2840.0
429,0.8156862745098039,8568.0
430,0.8117647058823529,2006.0
431,0.8117647058823529,5869.0
432,0.8117647058823529,1306.0
433,0.8117647058823529,1070.0
434,0.8627450980392157,2011.0
435,0.7686274509803922,4014.0
436,0.6666666666666666,2011.0
437,0.4745098039215686,326.0
438,0.6705882352941176,1980.0
439,0.7333333333333333,2324.0
440,0.6666666666666666,2729.0
441,0.6509803921568628,5268.0
442,0.6666666666666666,1058.0
443,0.6509803921568628,2559.0
444,0.803921568627451,2404.0
445,0.8117647058823529,1900.0
446,0.8117647058823529,1233.0
447,0.796078431372549,1767.0
448,0.8117647058823529,1123.0
449,0.8352941176470589,2016.0
450,0.8196078431372549,2219.0
451,0.6352941176470588,2011.0
452,0.792156862745098,3708.0
453,0.6549019607843137,2983.0
454,0.6431372549019608,1216.0
455,0.6392156862745098,7982.0
456,0.6509803921568628,1001.0
457,0.6352941176470588,1049.0
458,0.8235294117647058,2451.0
459,0.8117647058823529,2279.0
460,0.8470588235294118,1825.0
461,0.8392156862745098,3214.0
462,0.9058823529411765,2011.0
463,0.5843137254901961,1359.0
464,0.49411764705882355,2196.0
465,0.34509803921568627,1118.0
467,0.592156862745098,1713.0
468,0.8627450980392157,7847.0
469,0.807843137254902,13992.0
470,0.8156862745098039,25853.0
471,0.6705882352941176,1239220.0
472,0.6705882352941176,19887.0
473,0.6509803921568628,13756.0
474,0.6666666666666666,1061.0
475,0.8156862745098039,1025.0
476,0.8117647058823529,1875.0
477,0.8470588235294118,2011.0
478,0.8156862745098039,2011.0
479,0.6509803921568628,8457.0
480,0.6509803921568628,2011.0
481,0.6745098039215687,2011.0
482,0.6549019607843137,1247.0
483,0.5843137254901961,2162.0
484,0.6235294117647059,1708.0
485,0.6509803921568628,3378.0
486,0.796078431372549,4107.0
487,0.49411764705882355,1481.0
489,0.5568627450980392,2321.0
490,0.9137254901960784,1558.0
491,0.9803921568627451,100046.0
492,0.8196078431372549,2286.0
493,0.6352941176470588,1285.0
494,0.4745098039215686,17706.0
495,0.6352941176470588,2429.0
496,0.8549019607843137,2559.0
497,0.6666666666666666,28881.0
498,0.6745098039215687,1206.0
499,0.6549019607843137,1085.0
500,0.8117647058823529,1081.0
501,0.8117647058823529,1016.0
502,0.8235294117647058,1919.0
503,0.8235294117647058,4562.0
504,0.8117647058823529,1165.0
505,0.7803921568627451,2011.0
506,0.8431372549019608,2011.0
507,0.7843137254901961,2011.0
508,0.6549019607843137,2011.0
509,0.6392156862745098,1222.0
510,0.40784313725490196,2064.0
511,0.6509803921568628,2073.0
512,0.6784313725490196,1470.0
513,0.7490196078431373,1092.0
514,0.6705882352941176,13584.0
515,0.6509803921568628,1917.0
516,0.6627450980392157,14451.0
517,0.8117647058823529,1163.0
518,0.803921568627451,1824.0
519,0.8117647058823529,215106.0
520,0.6509803921568628,1625.0
521,0.6666666666666666,1275.0
522,0.8156862745098039,1910.0
523,0.8352941176470589,1099.0
524,0.803921568627451,2472.0
525,0.8117647058823529,2011.0
526,0.8117647058823529,1622.0
527,0.6509803921568628,2011.0
528,0.9490196078431372,1672.0
529,0.6509803921568628,1181.0
530,0.6509803921568628,1254.0
531,0.596078431372549,1338.0
532,0.6509803921568628,1792.0
533,0.6509803921568628,1201.0
534,0.7294117647058823,1145.0
535,0.6549019607843137,1316.0
536,0.6235294117647059,3333.0
537,0.8117647058823529,3523.0
538,0.9803921568627451,2574.0
539,0.6666666666666666,7139.0
540,0.8196078431372549,12922.0
541,0.6352941176470588,10314.0
542,0.792156862745098,3500.0
543,0.6470588235294118,1605.0
544,0.6666666666666666,2181.0
545,0.6627450980392157,1222.0
546,0.6549019607843137,5600.0
547,0.6431372549019608,1932.0
548,0.8196078431372549,1232.0
549,0.803921568627451,1140.0
550,0.8235294117647058,2485.0
551,0.8156862745098039,2011.0
552,0.8196078431372549,2088.0
553,0.8117647058823529,2011.0
554,0.8235294117647058,1626.0
555,0.8392156862745098,2449.0
556,0.8627450980392157,1189.0
557,0.8627450980392157,4609.0
558,0.6509803921568628,3154.0
559,0.6745098039215687,3416.0
560,0.7215686274509804,4809.0
561,0.6509803921568628,11913.0
562,0.6509803921568628,10278.0
563,0.6509803921568628,3126.0
564,0.5882352941176471,1504.0
565,0.788235294117647,5272.0
567,0.6627450980392157,1542.0
569,0.7411764705882353,1500.0
570,0.6627450980392157,35138.0
571,0.34509803921568627,13157.0
572,0.9803921568627451,3581.0
573,0.9764705882352941,1600.0
574,0.6784313725490196,3094.0
575,0.7254901960784313,2499.0
576,0.6509803921568628,3780.0
577,0.6745098039215687,1278.0
578,0.6705882352941176,1810.0
579,0.6666666666666666,8428.0
580,0.6392156862745098,1983.0
581,0.615686274509804,63260.0
582,0.6470588235294118,1068.0
583,0.6509803921568628,1116.0
584,0.8392156862745098,2011.0
585,0.8352941176470589,1661.0
586,0.8509803921568627,1273.0
587,0.8392156862745098,1738.0
588,0.6235294117647059,2011.0
589,0.6392156862745098,13304.0
590,0.6509803921568628,1411.0
591,0.6509803921568628,1372.0
592,0.6509803921568628,5368.0
593,0.5607843137254902,15342.0
594,0.6509803921568628,1338.0
595,0.6509803921568628,15096.0
596,0.8901960784313725,7749.0
597,0.6745098039215687,4636.0
598,0.6549019607843137,1759.0
599,0.7843137254901961,1610.0
600,0.7647058823529411,7504.0
602,0.34509803921568627,1313.0
603,0.5215686274509804,1616.0
604,0.9803921568627451,10200.0
605,0.3176470588235294,1334.0
606,0.8196078431372549,2828.0
607,0.7411764705882353,11615.0
608,0.6705882352941176,1676.0
609,0.6352941176470588,10664.0
610,0.9098039215686274,7425.0
611,0.7294117647058823,19259.0
612,0.7686274509803922,5249.0
613,0.788235294117647,3784.0
614,0.8549019607843137,5589.0
615,0.8235294117647058,3642.0
616,0.6235294117647059,2967.0
617,0.6470588235294118,2668.0
618,0.6509803921568628,3708.0
619,0.6352941176470588,1699.0
620,0.6509803921568628,2389.0
621,0.8117647058823529,1064.0
622,0.7058823529411765,1503.0
623,0.8352941176470589,1458.0
624,0.8117647058823529,2011.0
625,0.796078431372549,2011.0
626,0.803921568627451,2011.0
627,0.8117647058823529,2011.0
628,0.7843137254901961,1514.0
629,0.7372549019607844,2011.0
630,0.6509803921568628,2011.0
631,0.7098039215686275,3027.0
632,0.6509803921568628,7162.0
633,0.6509803921568628,4083.0
634,0.6509803921568628,1292.0
635,0.5803921568627451,1675.0
636,0.592156862745098,5070.0
637,0.6509803921568628,1526.0
641,0.8196078431372549,1330.0
642,0.3176470588235294,1540.0
645,0.6509803921568628,42473.0
646,0.6627450980392157,2210.0
647,0.6627450980392157,18573.0
648,0.8196078431372549,1382.0
649,0.5882352941176471,6181.0
650,0.596078431372549,1502.0
651,0.4745098039215686,1203.0
652,0.8980392156862745,1080.0
653,0.7843137254901961,1141.0
654,0.6352941176470588,3585.0
655,0.6392156862745098,2374.0
656,0.8392156862745098,1328.0
657,0.8352941176470589,1126.0
658,0.8705882352941177,1042.0
659,0.7607843137254902,2011.0
660,0.788235294117647,2011.0
661,0.8156862745098039,2011.0
662,0.8117647058823529,1453.0
663,0.792156862745098,1025.0
664,0.7843137254901961,2011.0
665,0.792156862745098,2011.0
666,0.6784313725490196,8668.0
667,0.611764705882353,1129.0
668,0.6509803921568628,1260.0
669,0.6509803921568628,1170.0
670,0.6509803921568628,1680.0
671,0.6509803921568628,6076.0
672,0.6549019607843137,1755.0
673,0.7843137254901961,1082.0
674,0.796078431372549,1202.0
675,0.6549019607843137,8292.0
676,0.6078431372549019,1231.0
677,0.6549019607843137,1330.0
678,0.34509803921568627,1973.0
681,0.6235294117647059,5249.0
682,0.49411764705882355,3409.0
684,0.611764705882353,1717.0
685,0.6509803921568628,1086.0
686,0.4745098039215686,2836.0
692,0.9058823529411765,5085.0
693,0.8392156862745098,4274.0
694,0.792156862745098,3729.0
695,0.6392156862745098,1729.0
696,0.8823529411764706,5351.0
697,0.8117647058823529,1370.0
698,0.8117647058823529,2011.0
699,0.8901960784313725,9038.0
700,0.6078431372549019,2011.0
701,0.6509803921568628,2011.0
702,0.6509803921568628,1648.0
703,0.7019607843137254,1642.0
704,0.807843137254902,1937.0
705,0.6509803921568628,5321.0
706,0.6039215686274509,2187.0
707,0.7294117647058823,1100.0
708,0.2823529411764706,2262.0
709,0.7176470588235294,1089.0
710,0.34509803921568627,2256.0
713,0.4745098039215686,1107.0
714,0.4745098039215686,2623.0
715,0.4745098039215686,6933.0
717,0.4745098039215686,1632.0
718,0.5215686274509804,3620.0
719,0.8196078431372549,14171.0
720,0.3176470588235294,2875.0
721,0.41568627450980394,11688.0
722,0.24313725490196078,1147.0
724,0.5843137254901961,3226.0
725,0.6627450980392157,2086.0
727,0.8392156862745098,1333.0
728,0.796078431372549,7739.0
729,0.803921568627451,2753.0
730,0.8117647058823529,1436.0
731,0.8431372549019608,2798.0
734,0.6823529411764706,4537.0
735,0.6509803921568628,1465.0
736,0.6196078431372549,2734.0
737,0.6549019607843137,1138.0
738,0.6196078431372549,12823.0
739,0.8509803921568627,2019.0
740,0.7568627450980392,1453.0
741,0.592156862745098,1957.0
742,0.25882352941176473,14250.0
743,0.7176470588235294,1215.0
744,0.6470588235294118,2657.0
747,0.3176470588235294,1642.0
748,0.4745098039215686,1089.0
749,0.4745098039215686,15163.0
750,0.09803921568627451,1978.0
752,0.9803921568627451,4708.0
754,0.8196078431372549,5922.0
755,0.8196078431372549,107909.0
756,0.6549019607843137,41788.0
757,0.7411764705882353,2438.0
758,0.596078431372549,1340.0
759,0.596078431372549,1980.0
760,0.6392156862745098,2953.0
761,0.4745098039215686,1773.0
763,0.4745098039215686,1277.0
764,0.4745098039215686,3546.0
765,0.3333333333333333,5257.0
766,0.5803921568627451,1949.0
767,0.8196078431372549,1891.0
771,0.4745098039215686,1167.0
772,0.7764705882352941,1453.0
773,0.5686274509803921,2458.0
774,0.34509803921568627,3456.0
777,0.4745098039215686,1719.0
779,0.9137254901960784,2055.0
780,0.8431372549019608,2905.0
781,0.8509803921568627,7981.0
782,0.6666666666666666,42334.0
783,0.6549019607843137,1433.0
784,0.6745098039215687,31862.0
785,0.8941176470588236,11001.0
786,0.7686274509803922,1174.0
787,0.6666666666666666,1208.0
788,0.32941176470588235,1803.0
790,0.4745098039215686,1606.0
791,0.8196078431372549,1241.0
792,0.6549019607843137,1310.0
793,0.8196078431372549,3991.0
795,0.34509803921568627,1179.0
796,0.8196078431372549,1388.0
797,0.34509803921568627,2453.0
798,0.5215686274509804,6291.0
799,0.8431372549019608,1964.0
800,0.7058823529411765,1166.0
801,0.8196078431372549,1213.0
802,0.9098039215686274,1073.0
803,0.3176470588235294,1128.0
804,0.6352941176470588,1235.0
805,0.611764705882353,1163.0
806,0.7176470588235294,1171.0
807,0.6352941176470588,1674.0
808,0.6980392156862745,1076.0
809,0.47843137254901963,1548.0
814,0.49411764705882355,1285.0
815,0.34509803921568627,1186.0
819,0.6470588235294118,1118.0
820,0.6352941176470588,1075.0
821,0.8196078431372549,1474.0
822,0.9254901960784314,1181.0
824,0.3176470588235294,1136.0
825,0.7294117647058823,2770.0
826,0.8196078431372549,1299.0
827,0.5764705882352941,3051.0
828,0.6666666666666666,1596.0
829,0.6078431372549019,1538.0
830,0.5294117647058824,1979.0
831,0.5098039215686274,18154.0
832,0.611764705882353,2032.0
833,0.49411764705882355,2329.0
837,0.6431372549019608,1634.0
842,0.5843137254901961,1272.0
843,0.796078431372549,2060.0
844,0.8352941176470589,7106.0
845,0.9803921568627451,1506.0
847,0.6352941176470588,1717.0
849,0.796078431372549,1300.0
850,0.6509803921568628,1129.0
851,0.7058823529411765,1471.0
852,0.8745098039215686,2263.0
853,0.7333333333333333,1136.0
854,0.49411764705882355,3640.0
855,0.49411764705882355,1684.0
856,0.49411764705882355,12010.0
857,0.47058823529411764,5316.0
859,0.4745098039215686,2463.0
860,0.34509803921568627,1500.0
861,0.788235294117647,1373.0
862,0.9803921568627451,1019.0
863,0.8196078431372549,1613.0
864,0.6901960784313725,2134.0
865,0.8196078431372549,1041.0
867,0.3176470588235294,3045.0
868,0.6352941176470588,3999.0
869,0.7019607843137254,2685.0
870,0.6352941176470588,5326.0
871,0.8196078431372549,1023.0
872,0.49411764705882355,1493.0
873,0.9529411764705882,1694.0
874,0.49411764705882355,17537.0
875,0.49411764705882355,1560.0
876,0.49411764705882355,2201.0
877,0.49411764705882355,1401.0
878,0.3764705882352941,1192.0
881,0.4745098039215686,73368.0
882,0.796078431372549,2385.0
883,0.6784313725490196,1168.0
884,0.8823529411764706,2822.0
885,0.5607843137254902,2713.0
886,0.8470588235294118,1250.0
887,0.796078431372549,1407.0
888,0.788235294117647,1340.0
889,0.17647058823529413,1029.0
890,0.6627450980392157,1225.0
893,0.49411764705882355,3567.0
894,0.3176470588235294,1212.0
896,0.6352941176470588,2071.0
897,0.6078431372549019,1590.0
898,0.4745098039215686,2153.0
899,0.49411764705882355,1166.0
900,0.49411764705882355,1802.0
903,0.6470588235294118,1047.0
904,0.8745098039215686,1664.0
905,0.7098039215686275,10741.0
906,0.6784313725490196,88054.0
907,0.6980392156862745,1269.0
908,0.7098039215686275,14364.0
909,0.9137254901960784,4750.0
910,0.6941176470588235,1016.0
911,0.7803921568627451,1856.0
912,0.6313725490196078,2019.0
913,0.5803921568627451,1053.0
914,0.8235294117647058,4130.0
915,0.8470588235294118,1644.0
916,0.8196078431372549,2020.0
917,0.8156862745098039,1375.0
918,0.34509803921568627,1179.0
919,0.5764705882352941,2775.0
920,0.49411764705882355,1664.0
921,0.49411764705882355,1223.0
923,0.4745098039215686,1035.0
924,0.4745098039215686,1085.0
925,0.7647058823529411,1149.0
926,0.7490196078431373,1128.0
927,0.8745098039215686,1845.0
928,0.8196078431372549,1022.0
929,0.6784313725490196,1196.0
930,0.6901960784313725,6154.0
931,0.7529411764705882,2218.0
932,0.49411764705882355,1338.0
933,0.49411764705882355,1733.0
935,0.49411764705882355,1029.0
936,0.49411764705882355,1153.0
937,0.49411764705882355,1053.0
941,0.803921568627451,3214.0
942,0.6470588235294118,4996.0
943,0.6509803921568628,2662.0
944,0.5568627450980392,1707.0
945,0.5607843137254902,3455.0
946,0.5333333333333333,1291.0
947,0.2980392156862745,2961.0
948,0.7686274509803922,1608.0
949,0.6078431372549019,1518.0
950,0.7098039215686275,1234.0
951,0.7176470588235294,1012.0
952,0.8196078431372549,1892.0
953,0.8392156862745098,1269.0
954,0.8705882352941177,4836.0
955,0.8196078431372549,1567.0
956,0.34509803921568627,1059.0
957,0.34509803921568627,1060.0
958,0.49411764705882355,1644.0
959,0.49411764705882355,1010.0
960,0.49411764705882355,1064.0
961,0.49411764705882355,1286.0
963,0.6352941176470588,2067.0
964,0.7764705882352941,1870.0
965,0.7372549019607844,2229.0
966,0.5647058823529412,1227.0
967,0.6941176470588235,3274.0
968,0.7098039215686275,1751.0
969,0.09803921568627451,1303.0
970,0.4745098039215686,1484.0
971,0.09411764705882353,1174.0
972,0.33725490196078434,1831.0
973,0.34509803921568627,2305.0
974,0.6627450980392157,1104.0
975,0.17647058823529413,3388.0
976,0.592156862745098,4466.0
977,0.49411764705882355,4778.0
978,0.49411764705882355,2425.0
982,0.49411764705882355,1961.0
983,0.5647058823529412,17235.0
984,0.49411764705882355,94285.0
985,0.6509803921568628,2084.0
986,0.6941176470588235,2706.0
987,0.5882352941176471,1013.0
988,0.8431372549019608,1114.0
989,0.7843137254901961,9387.0
990,0.17647058823529413,1334.0
991,0.34509803921568627,1054.0
992,0.7529411764705882,1542.0
993,0.615686274509804,3749.0
994,0.6352941176470588,1381.0
995,0.8196078431372549,1629.0
996,0.8196078431372549,5934.0
997,0.49411764705882355,1267.0
998,0.49411764705882355,1164.0
999,0.49411764705882355,1659.0
1000,0.49411764705882355,1235.0
1001,0.49411764705882355,1017.0
1004,0.49019607843137253,1410.0
1005,0.8156862745098039,2683.0
1006,0.6313725490196078,1043.0
1007,0.7176470588235294,1584.0
1008,0.8941176470588236,1071.0
1009,0.6784313725490196,2277.0
1010,0.19215686274509805,2822.0
1011,0.6627450980392157,2504.0
1012,0.49411764705882355,1042.0
1013,0.3176470588235294,1525.0
1014,0.09803921568627451,1461.0
1015,0.3176470588235294,1061.0
1016,0.4745098039215686,1383.0
1017,0.7803921568627451,1308.0
1020,0.49411764705882355,1190.0
1021,0.6509803921568628,1125.0
1022,0.6509803921568628,1111.0
1023,0.596078431372549,1390.0
1024,0.796078431372549,1414.0
1025,0.8509803921568627,1096.0
1026,0.5372549019607843,2420.0
1027,0.7215686274509804,2915.0
1028,0.7333333333333333,3674.0
1029,0.7333333333333333,2887.0
1030,0.5058823529411764,1036.0
1031,0.34509803921568627,8795.0
1032,0.8196078431372549,5850.0
1033,0.8196078431372549,6909.0
